Species,Text,Page_id,Volume,Year,Source,Source_ID,Institution,Language,Rights,Copyright
Transandinomys talamancae,AF251520 Hylaeamys yunganus AF251522 Hylaeamys laticeps EU579499 Hylaeamys megacephalus AF108695 Hylaeamys megacephalus EF455033 Hylaeamys megacephalus EU579489 Handleyomys alfaroi KF658401 Handleyomys alfaroi QCAZ14766 Handleyomys alfaroi KF658381 Handieyomys chapmani EU579494 Handleyomys saturatior KF658386 Handleyomys saturatior > AF 181273 Euryoryzomys lamia 400/1.00 i= AF251529 Euryoryzomys nitidus EU579485 Euryoryzomys nitidus EU579513 Transandinomys bolivaris EU579514 Transandinomys falamancae GU126544 Transandinomys talamancae AF251526 Euryoryzomys emonsae EF455018 Euryoryzomys russatus AF251527 Euryoryzomys macconnelli QCAZ4987 Euryoryzomys macconnelli EU579507 Oecomys catherinae JQ966233 Oecomys catherinae AJ496311 Oecomys rutilus AJ496305 Oecomys auyantepui HM594591 Oecomys paricola AY275123 Oecomys superans 86/0.62 ! JQ312124 Oecomys bicolor HM594612 Oecomys cleberi U58382 Oecomys bicolor HM594615 Oecomys concolor EU579509 Oecomys mamorae GU126527 Oecomys trinitatis FJ361072 Oecomys roberti KR190457 Oecomys roberti MSB68442 Nephelomys keaysi KY754067 Nephelomys keaysi MVZ171460 Nephelomys keaysi,64738101,6,2022,Virtual Item,vi210912v6no1202220250518010740,Pensoft Publishers,English,https://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Transandinomys talamancae,"6 Occasional Papers, Museum of Texas Tech University Table 1. (cont.) Species Cytochrome b IRBP Paynomys macronyx U03533 AY277441 Pennatomys nivalis LN810055 n/a Peromyscus leucopus EF989979 EF989880 Phaenomys ferrugineus KM065876 KM065877 Phodopus sungorus AJ973390 KC953439 Phyllotis xanthopygus U86833 AY163632 Podoxymys roraimae KM816650 KM816650 Pseudoryzomys simplex GUI 26547 AY 163633 Punomys kofordi JQ434426 JQ434414 Reithrodon auritus EU579474 AY163634 Reithrodontomys fulvescens EF990003 EF989904 Rhagomys longilingua KX423691 DQ003723 Rheomys sp. KJ921706 KC953451 Rhipidomys macconnelli AY275130 AY277474 Salinomys delicatus EU377608 JQ434415 Scapteromys tumidus AY275133 AY277477 Scolomys ucayalensis EU579518 AY163638 Scotinomys teguina AF108705 AY277415 Sigmodon hispidus AF425227 AY277479 Sigmodontomys alfari EU074635 AY 163641 Sooretamys angouya GUI 26534 KC953456 Tanyuromys aphrastus JF693877 JF693878 Tapecomys wolffsohni U86834 KC953460 Thalpomys cerradensis AY273916 AY277480 Thaptomys nigrita AF 108666 AY277482 Thomasomys aureus U03540 AY277483 Transandinomys talamancae GUI 26544 KC953465 Tylomys nudicaudus DQ179812 AY 163643 Wiedomys pyrrhorhinos EU579477 AY277485 Wilfredomys oenax KJ663726 KJ663727 Zygodontomys brevicauda GUI 26549 AY 163645 were visualized using an Olympus BX51 microscope; ten good-quality spreads were scanned and counted. Images were photographed using an Applied Imaging Systems (San Jose, California). Morphological data .-We follow a polythetic approach (Mayr and Ashlock 1991) to identify mor¬ phological features useful to characterize the new tribe; by the very nature of this approach, some combination of characters, some likely plesiomorphic and some",57786035,338,2016,Internet Archive,descriptionnewt338sala,Museum of Texas Tech University,English,http://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Tanyuromys aphrastus,AF251520 Hylaeamys yunganus AF251522 Hylaeamys laticeps EU579499 Hylaeamys megacephalus AF108695 Hylaeamys megacephalus EF455033 Hylaeamys megacephalus EU579489 Handleyomys alfaroi KF658401 Handleyomys alfaroi QCAZ14766 Handleyomys alfaroi KF658381 Handieyomys chapmani EU579494 Handleyomys saturatior KF658386 Handleyomys saturatior > AF 181273 Euryoryzomys lamia 400/1.00 i= AF251529 Euryoryzomys nitidus EU579485 Euryoryzomys nitidus EU579513 Transandinomys bolivaris EU579514 Transandinomys falamancae GU126544 Transandinomys talamancae AF251526 Euryoryzomys emonsae EF455018 Euryoryzomys russatus AF251527 Euryoryzomys macconnelli QCAZ4987 Euryoryzomys macconnelli EU579507 Oecomys catherinae JQ966233 Oecomys catherinae AJ496311 Oecomys rutilus AJ496305 Oecomys auyantepui HM594591 Oecomys paricola AY275123 Oecomys superans 86/0.62 ! JQ312124 Oecomys bicolor HM594612 Oecomys cleberi U58382 Oecomys bicolor HM594615 Oecomys concolor EU579509 Oecomys mamorae GU126527 Oecomys trinitatis FJ361072 Oecomys roberti KR190457 Oecomys roberti MSB68442 Nephelomys keaysi KY754067 Nephelomys keaysi MVZ171460 Nephelomys keaysi,64738101,6,2022,Virtual Item,vi210912v6no1202220250518010740,Pensoft Publishers,English,https://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Tanyuromys aphrastus,"6 Occasional Papers, Museum of Texas Tech University Table 1. (cont.) Species Cytochrome b IRBP Paynomys macronyx U03533 AY277441 Pennatomys nivalis LN810055 n/a Peromyscus leucopus EF989979 EF989880 Phaenomys ferrugineus KM065876 KM065877 Phodopus sungorus AJ973390 KC953439 Phyllotis xanthopygus U86833 AY163632 Podoxymys roraimae KM816650 KM816650 Pseudoryzomys simplex GUI 26547 AY 163633 Punomys kofordi JQ434426 JQ434414 Reithrodon auritus EU579474 AY163634 Reithrodontomys fulvescens EF990003 EF989904 Rhagomys longilingua KX423691 DQ003723 Rheomys sp. KJ921706 KC953451 Rhipidomys macconnelli AY275130 AY277474 Salinomys delicatus EU377608 JQ434415 Scapteromys tumidus AY275133 AY277477 Scolomys ucayalensis EU579518 AY163638 Scotinomys teguina AF108705 AY277415 Sigmodon hispidus AF425227 AY277479 Sigmodontomys alfari EU074635 AY 163641 Sooretamys angouya GUI 26534 KC953456 Tanyuromys aphrastus JF693877 JF693878 Tapecomys wolffsohni U86834 KC953460 Thalpomys cerradensis AY273916 AY277480 Thaptomys nigrita AF 108666 AY277482 Thomasomys aureus U03540 AY277483 Transandinomys talamancae GUI 26544 KC953465 Tylomys nudicaudus DQ179812 AY 163643 Wiedomys pyrrhorhinos EU579477 AY277485 Wilfredomys oenax KJ663726 KJ663727 Zygodontomys brevicauda GUI 26549 AY 163645 were visualized using an Olympus BX51 microscope; ten good-quality spreads were scanned and counted. Images were photographed using an Applied Imaging Systems (San Jose, California). Morphological data .-We follow a polythetic approach (Mayr and Ashlock 1991) to identify mor¬ phological features useful to characterize the new tribe; by the very nature of this approach, some combination of characters, some likely plesiomorphic and some",57786035,338,2016,Internet Archive,descriptionnewt338sala,Museum of Texas Tech University,English,http://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Zentrygon chiriquensis,"Bulletin of the British Ornithologists' Club ISSN 0007-1595 Edited by Guy M. Kirwan Associate Editor: Frank D. Steinheimer Volume 134 Number 3, pages 165-240 CONTENTS Club Announcements. 165 HUME, J. P. & VAN GROUW, H. Colour aberrations in extinct and endangered birds. 168 SHIRIHAI, H., PYM, T„ SAN ROMAN, M. & BRETAGNOLLE, V. The Critically Endangered Mascarene Petrel Pseudobulweria aterrima: identification and behaviour at sea, historical discovery of breeding sites, and breeding ecology on Reunion, Indian Ocean. 194 FIRME, D. H„ PINTO DE ASSIS, C., GRAVES, G. R. & RAPOSO, M. A. Taxonomic status of Scaled Ground Cuckoo Neomorphus squamiger Todd, 1925. 224 BROOKS, D. M. Courtship display of Rufous-breasted (Chiriqui) Quail-Dove Zentrygon chiriquensis.. 232 MARKI, P. Z., LAGERQVIST, M. & BANWELL, A. Recent observations of White-eyed Starling Aplortis brunneicapillus on Guadalcanal, Solomon Islands. 234 FREILE, J. F. First record of White-crowned Manakin Dixiphia pipra in western Ecuador. 238 EDITORIAL BOARD Murray Bruce, R. T. Chesser, Edward C. Dickinson, Fran^oise Dowsett-Lemaire, Steven M. S. Gregory, Jose Fernando Pacheco, Robert B. Payne, Pamela C. Rasmussen, Cees Roselaar, Thomas S. Schulenberg, Lars Svensson Registered Charity No. 279583 www.boc-online.org Printed on acid-free paper. Published by the British Ornithologists' Club Typeset by Alcedo Publishing of Arizona, USA, and printed by Charlesworth Press, UK",56214047,,,Internet Archive,bulletinofbritis1343unse,"Natural History Museum Library, London",English,http://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Dermanura watsoni,"Engilis et al.-Mammals of Maya Mountains, Belize 19 3q in c d CN cn d cn H oo IN in d oo T-4 ON d in NO H 4-* cn H 4» d d d d cn cn cn d d d* cn cn d £ cn 2 oo cn C d cn 2 ON CN oo fN o cn o ON fN cn ON in ON cn u no no u o' ON O o' o' ON o o' no in in i 1 OO d oo NO ON IN <N no NO \T ON d d OO o CN cn hJ in in hP N N NO IN IN NO IN 00 IN cn on OO OO OO cn d OO CN no oo OO d '-H d d d N IN '1 N ri ri N NO NO IN NO NO N 1 NO in' 1 ,-l ,-l 1 1 CBL <N n CBL CN IN in OO IN ON fN <N no OO IN in in o CN NO cn o' o' NO NO NO NO NO N IN IN IN <N CN CN CN CN CN CN CN CN (N CN GSL cn cn GSL d d 28.2 NO 27.9 NO IN NO N oo o' cn o 00 fN 00 CN IN in 00 NO 00 in oo' NO 00 (N CN CN CN fN CN CN CN CN d ON in ON oo d in cn cn O d d CN Cl OO £ O e'¬ en 00 cn in cn cn d cn a O 3 NO NO NO 3 NO 3 NO NO NO 3 NO in Ed d Ed C/5 C/5 d O d a* cn in d n IN NO a gP IN IN IN NO IN IN IN IN IN IN NO NO IN -4-i 4-^ H C/5 d H cd CQ o nO ! d cn no in N OO in QJ _d s i-H d CN CN O -H cn ON ON -H <D w cd CQ W CN CN CN CN CN CN CN CN CN fN CN 2 3 o Ed CN d d o d dj _d Ed NO NO NO NO in IN oo NO IN IN in d NO pp C/5 X 1 1 ' 1 1 1 1-1 2 3 u ffi 1 ,-l ,-H 1 ,-l ,-l ,-l 1 dH I £ pp 1 * o 3) d 2 3 £ o o o o o o P-H e2 o o o o o O o o O O o o o <D S 2 o PQ O 'd m -4-» 2 d no o cn in NO 5-h 2 NO NO oo d IN in in NO cn IN -4 oo d 3 in in no NO in NO -g 1 OO N oo oo oo oo oo OO ON OO OO IN oo o hH Age -4-> -4-> -t-J -t-> -t-J H-> o o 3 n-5 hH fN 00 Age H-> -4-> H-* H-* -4-> -4-> -4-> -4-> -4-> -4-> -4-> -4-> -4-J 00 3 3 3 3 3 3 cn 3 3 3 3 3 3 3 3 3 3 3 3 3 no nO no no no TO no no no no no no no no no no no no no o < < < < < < -a < < < < < < < < < < < < < £ © Sex 2 2 Ed 2 2 Ed U d d sS v 21 Sex Ed Ed Ed Ed 2 2 Ph 2 2 2 2 2 Ph a <0 s •a ST5 2 'Eh C/5 C/5 d d o d a d C/5 P 2 'C CD C/5 C/5 C/5 o C/5 C/5 QJ C/5 C/5 C/5 C/5 C/5 s CL> + + 2 2 < 2 d 8 g PP + + + < + + PP + + + + + 2 C/5 C/5 C/5 C/5 C/5 a> g 2 C/5 C/5 C/5 C/5 C/5 C/5 C/5 C/5 C/5 C/5 C/5 C/5 2 g d 52 2 *« 3 c •~N 52 tf5 d =tt m O cn in NO t _o § <1 =tt m OO ON O CN cn d in NO IN CN O OO s; in in d d ON T-4 %-> IN N OO OO OO oo oo oo OO OO CN CN d Ed CN Cl CN CN fN cn Ed CN CN CN CN CN CN CN fN Cl Cl cn cn cn £ d d d d d d CJ no d d d d d d d d d d d d d < 3 o HH <u .g 3 d o g 3 <HH pp 2) c i o 5-1 P0 ■4H O o ir co U d a> a> 5h d c/5 cS <D s 3 d _o 3 nO < d .o -4-> c/5 2 2 Ed C/5 d > a> d U C/5 d h4 d o o o .g fN ^H cn d nO § fN oo (N d C/5 d qj s 3 s CP C/5 , Dermanura tolteca (Saussure 1860), Toltec Fruit-eating Bat WFB# Material Sex Age H&B Tail HF Ear Tragus Forearm GSL CBL ZYW LIW Cl-M3 Wt(g) 4277 S+S M Adult 58 0 12 16 6 _ 40 20,28 19,32 12,23 4,85 6,69 13,5 Additional measurement: Cl-M3=tooth row length from canine to last molar.",57759792,308,2012,Internet Archive,smallmammalsurv308engi,Museum of Texas Tech University,English,http://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Dermanura watsoni,"Dermanura watsoni Thomas 1901, Thomas's Fruit-eating Bat WFB# Material Sex Age H&B Tail HF Ear Tragus Forearm GSL CBL ZYW LIW Cl-M3 Wt(g) 4244 Skin F Adult 56 0 9 17 7 34.5 ..... 14.5 4275 S+S M Adult 53 0 10 15 6 _ 41 20,51 19,4 12,03 5,02 6,45 13 Additional measurement: Cl-M3=tooth row length from canine to last molar. 20 Occasional Papers, Museum of Texas Tech University 3 in O CO O NO CN in CN O ON of ON of oo of oo in 5 n 5 [■"" NO in ON in NO ON of ON l-D ON IN in of ON ON in NO ON co 9 in oo CO of H of Of in of CN -4 in 1-4 3 of so ; of CO IN ON 00 oo CN OO CO CN ' . H in in in in in in in in in in in in' NO U in CO n CN CO CN no ON IN of CO ON CO CO CN in 1-4 p on CO CN CO CO in NO NO N Of CN o CN ON of 3 of of of of of Of Of Of of of of of Of in cn CN H 5 i-4 CO OO NO in ON OO CO ON N in Of Of N i CO CO of CO IN in 00 in of Of CN CO Os 9 CO CO CO CO CO CO CO CO CO CO CO CO CO P PQ no CN O SO CN 1-4 o CN ON CN oo N CO 1-4 CN in 1-1 4-1 in o O SO of of ON oo ON N CN z so so CO Of CN in in in p in CO in in' i-i i-4 t-H y-i y -H y -H T-H ▼-H 1-1 t-H P GO CN 00 O n g On so CN CN IN IN NO ON NO NO ON NO m ■ i CO o in ON '-i in in ON O ON CO \r B as 00 oo 00 ON ON ON ON OO ON ON ON o' c3 <d 39 in CN CN ON Of NO OO H CO Of ON ON u p*' l-4 in CN O NO OO OO IN in o PP N in' so in NO NO NO IN z IN NO NO N CD 1-1 1-1 1-1 1-1 cn on 3 3 o CBL CN of IN -i ON Of NO in ON in 1-4 ON IN SP r *-H IT) Os SO o CO IN NO m •-i oo Of in OO cn o' 00 p ON P CO CO ON CN o' o' CO H -4-» M CO CO CN CO CN CO CO CO CN CO CO CO CO d .o s c3 m o o OP ^H o o IN oo oo N in IN IN oo ON NO in ON o IN oo ON 3 -4-H DO W w 1-1 CN 3 3 Pp 'Sh Pp Pp t-H DO in no OO NO Of in Of CO NO in Of in T-H N NO NO NO NO on c3 C/} ffi CO CO CO CO CO CO CO CO CO CO CO CO CO CN CO CO CO CO 4> GO > <D § r3 r3 Cl V-l CN ON ON [87] ON [86] o 57 N IN CO NO NO 1-4 CO u e3 QQ o rH in CO CO Of CN CN NJ 22 oo of CO IN N in N OO C/5 H s C/3 CD H ,-l ,-l ,-l ,-l ,-l ,-l a 03 <D PQ Q PQ 3 O 55 fN CN in no oo OO NO NO of NO !-H IN CO CO in oo OO in . c3 P-i <D 00 of i-4 CN y-l T-H T^j CO in CO CO CN of in CN CN of Q X VO 00 ffi 1 ' -l 1 ,_l ,-l ,-l ' 1 ' 1 1 ,-l 1 1 1 1 ' 1 '-4-H o p tH 3 jq Age -4-> Age -4-> -4-> -4-> -4-> -4-> 4-* < ^3 -4-H -4-H -4-> -4-H> c ^3 < ^3 -4-H -4-H -4-H < X) -4-H 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 CD £ 03 a -3 03 03 03 03 3 03 03 03 T3 3 3 03 03 03 3 03 < c < < < < < GO < < < < GO GO < < < GO < a M 50 ON Of S ON OO >% Sex PP .1 42 C<3 Sex pp s s s pp s PP Pp PP Pp Ph M M PP Pp s PP Pp CN of p •n CN o 3 « 3 of 8 'Eh GO | 'C GO GO GO GO GO GO GO GO GO GO CD CD GO (D GO GO GO GO oo"" co CD + 1 (D + + + + + + + + + + < + PP + + + + g* 3 GO 3 GO GO GO GO GO GO GO GO GO GO GO GO GO GO GO GO GO CN 50 © 1 of cm <D c =tfc PQ CO a =tt PQ CN CN CO CN OO in NO N OO CO of NO ON CO in ON O r O 1-4 CO CO in in in in in NO NO NO ON O CN CO of a Pp CN & PP CN CN CN CN CN CN CN CN CN CN CN CN CN Cl CO CO CO CO CD £ 'It $ £ Of of Of of of of of of of of of of of Of of Of of of <D CP C/5",57759793,308,2012,Internet Archive,smallmammalsurv308engi,Museum of Texas Tech University,English,http://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Vampyriscus nymphaea,"2014 TAVARES ET AL.: SYSTEMATICS OF VAMPYRESSA 3 TABLE 1. Historical taxonomy and contents of Vampyressa and Vampyriscus departing from the split into three subgenera proposed by Peterson (1968). Peterson (1968) a Davis (1975) a Lim et al. (2003) e Arroyo-Cabrales (2008a, b) f Vampyressa b melissa Vampyressa b melissa Vampyressa b melissa Vampyressa melissa Vampyressa b pusilla pusilla c Vampyressa b pusilla Vampyressa b p us m a Vampyressa pusilla Synonym: Synonym: Synonym: natteri d nattereri nattereri thyone? Vampyressab thy 0ne Vampyressa thyone Synonyms: Synonyms: Synonyms: minuta minuta minuta venilla venilla venilla Metavampyressa b brocki Vampyriscus b brocki Vampyriscus b brocki Vampyriscus brocki Metavampyressa b nymphaea Vampyriscus b nymphaea Vampyriscus b nymphaea Vampyriscus nymphaea Vampyriscus b bidens Vampyriscus b Jjid ens Vampyriscus b ]yi^ ens Vampyriscus bidens a Classification based on morphology. b Subgenus of Vampyressa. c Subspecies of V. pusilla. d Incorrect spelling of Vampyressa nattereri Goodwin (1963: 16). e Classification based on morphology and mtDNA data. f The classification followed by this paper; supported by the molecular studies of Baker et al. (2003), Hoofer and Baker (2006), and Hoofer et al. (2008). Herein, we report on our systematic study of these specimens previously identified as melissa. In addition, we provide a restricted diagnosis of the genus Vampyressa , a diagnosis and revised description of melissa, and descriptions of two previously undescribed species of Vampyressa. MATERIAL AND METHODS External and craniodental characters are based mainly on, but not restricted to, those defined by Tavares (2008) and Wetterer et al. (2000). Other anatomical features are derived from Giannini et al. (2006) and Giannini and Simmons (2007), or are described as follows: Accessory cusp near apex of upper canine. A small ""cusp"" at the apex of the mediolateral ridge forming the lingual border of the longitudinal sulcus on posterior crown of upper canines. In most stenodermatines, the mediolateral ridge is complete to the tip of the canine. In Vampy¬ ressa (and Mesophylla) the mediolateral ridge is incomplete and terminates as a small subapical step on the posterointernal crown of the canine. Ectophylla has a similar accessory subapical cusp, which differs in that it is thicker and is at the apex of both the mediolateral and a second¬ ary ridge along the lingual surface of the upper canine (Tavares, 2008: chars. 191 and 192). Accessory medial foramen. A small foramen located either in the septum (medial flange of the palatine process of the premaxilla) separating incisive foramina, or located in the midline between premaxillae anterior to the incisive foramina. In all Vampyressa examined, this fora¬ men is in the septum (illustrated herein).",58828860,,,Internet Archive,systematicsvamp00tava,American Museum of Natural History Library,English,http://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Vampyriscus nymphaea,"10 Special Publications, Museum of Texas Tech University Table 1. (cont.) Taxa Region Departments (records from reviewed literature) Departments (records from museums) Elevational range Reference Collections Vampiriscus Thomas 1900§ (14) Vampyriscus bidens (Dobson 1878) + amz and caq cau va met pu 0-1000 Marinkelle & Cadena 1972 IAvH ICN 18646 ROM USNH UV Vampyniscus brocki (Peterson 1968) + amz ama ce ma 0-500 Baker et al. 1972 CSJ ICN 14913 UV IAvH ROM TTU Vampyriscus nymphaea (Thomas 1909) + pac ant cau cho ri vc 0-1900 Thomas 1909 AMNH FMNH ICN 16165 MHNUC MZCH USNMUV Vampyrodes Thomas 1900 Vampyrodes caraccioli (Thomas 1889) CO cau cho gn ant pu vc va 0-1000 Arata et al. 1968 FMNH IAvH ICN 11274 TTU USNM UV Tribe Mesostenodermatini Subtribe Euchistenina Enchistenes Andersen 1906 Enchistenes hartii Thomas 1892 + CO ant caq cau cl cho na ri vc ama bo cas cun met snt pu to 0-2000 Arata et al. 1968 FMNH ICN 6771 MHNUC MZCH TTU USNM Subtribe EctophyIlina§ (16) Mesophylla Thomas 1901 Mesophylla macconnelh Thomas 1901 CO ant caq cau cl cho ri vc gn ama gn met na pu ri va vc vi 0-1500 Laurie 1955 FMNH IAvH ICN MZCH TTU USNM 499483 UV Subtribe Artibeina Artibeus Leach 1821 Artibeus ampins Handley 1987 and car ant caq cau bo ce ma met 0-1300 Handley 1987 IAvH ICN 13344 UV Artibeus concolor Peters 1865 §(17) + ama and sntgn ama caq gn va vi 0-500 Dobson 1880 IAvH ICN 15014 UV Artibeus jamaicensis Leach 1821 car ori pac ant cau cl cho cun ma ri to vc bl bo cl cas ce co cun ma met nsn sand pro 0-2100 J.A. Allen 1890 AMNH FMNH IAvH ICN MHNUC MUD MZCH ROM TTU USNM 499488 UV Artibeus lituratus (Olfers 1818) CO ant cau cl cho cun ma met snt to ama ara bo cas ce co gn gua hu na nsn pu qui ri snt to vc va vi 0-2600 Dobson 1878 AMNH FMNH IAvH ICN 447 MHNUC MUD MZCH TTU USNMUV Artibeus obscurus (Schinz 1821) amz and ant cau met gn ama ara cl caq gn met ri va yi 0-1000 Munoz 1986 FMNH 113407 IAvH ICN TTU USNM UV Artibeus planirostris (Spix 1823) amz and ori caq ama cun hu met nsn pu snt vi 0-1300 Koopman 1982 IAvH ICN 17307 TTU UV Dermanura Gervais 1856 + §(18) Dermanura underseni (Osgood 1916) + amz ama ama ant bl caq ce cho co cun met nsn 0-500 Cuervo et al 1986 ICN 17180 ROM 63061 Dermanura bogotensis (Andersen 1906) + and cun ce ri 2600 Acta chiropterologic a ICN holotype Dermanura glauca (Thomas 1893) + CO caq cau cl cho cun ma met snt ant 0-2100 Dobson 1880 IAvH ICN MHNUC UV",55049278,56,2009,Internet Archive,phyllostomidbat56mant,Museum of Texas Tech University,English,http://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Dermanura tolteca,"Engilis et al.-Mammals of Maya Mountains, Belize 19 3q in c d CN cn d cn H oo IN in d oo T-4 ON d in NO H 4-* cn H 4» d d d d cn cn cn d d d* cn cn d £ cn 2 oo cn C d cn 2 ON CN oo fN o cn o ON fN cn ON in ON cn u no no u o' ON O o' o' ON o o' no in in i 1 OO d oo NO ON IN <N no NO \T ON d d OO o CN cn hJ in in hP N N NO IN IN NO IN 00 IN cn on OO OO OO cn d OO CN no oo OO d '-H d d d N IN '1 N ri ri N NO NO IN NO NO N 1 NO in' 1 ,-l ,-l 1 1 CBL <N n CBL CN IN in OO IN ON fN <N no OO IN in in o CN NO cn o' o' NO NO NO NO NO N IN IN IN <N CN CN CN CN CN CN CN CN (N CN GSL cn cn GSL d d 28.2 NO 27.9 NO IN NO N oo o' cn o 00 fN 00 CN IN in 00 NO 00 in oo' NO 00 (N CN CN CN fN CN CN CN CN d ON in ON oo d in cn cn O d d CN Cl OO £ O e'¬ en 00 cn in cn cn d cn a O 3 NO NO NO 3 NO 3 NO NO NO 3 NO in Ed d Ed C/5 C/5 d O d a* cn in d n IN NO a gP IN IN IN NO IN IN IN IN IN IN NO NO IN -4-i 4-^ H C/5 d H cd CQ o nO ! d cn no in N OO in QJ _d s i-H d CN CN O -H cn ON ON -H <D w cd CQ W CN CN CN CN CN CN CN CN CN fN CN 2 3 o Ed CN d d o d dj _d Ed NO NO NO NO in IN oo NO IN IN in d NO pp C/5 X 1 1 ' 1 1 1 1-1 2 3 u ffi 1 ,-l ,-H 1 ,-l ,-l ,-l 1 dH I £ pp 1 * o 3) d 2 3 £ o o o o o o P-H e2 o o o o o O o o O O o o o <D S 2 o PQ O 'd m -4-» 2 d no o cn in NO 5-h 2 NO NO oo d IN in in NO cn IN -4 oo d 3 in in no NO in NO -g 1 OO N oo oo oo oo oo OO ON OO OO IN oo o hH Age -4-> -4-> -t-J -t-> -t-J H-> o o 3 n-5 hH fN 00 Age H-> -4-> H-* H-* -4-> -4-> -4-> -4-> -4-> -4-> -4-> -4-> -4-J 00 3 3 3 3 3 3 cn 3 3 3 3 3 3 3 3 3 3 3 3 3 no nO no no no TO no no no no no no no no no no no no no o < < < < < < -a < < < < < < < < < < < < < £ © Sex 2 2 Ed 2 2 Ed U d d sS v 21 Sex Ed Ed Ed Ed 2 2 Ph 2 2 2 2 2 Ph a <0 s •a ST5 2 'Eh C/5 C/5 d d o d a d C/5 P 2 'C CD C/5 C/5 C/5 o C/5 C/5 QJ C/5 C/5 C/5 C/5 C/5 s CL> + + 2 2 < 2 d 8 g PP + + + < + + PP + + + + + 2 C/5 C/5 C/5 C/5 C/5 a> g 2 C/5 C/5 C/5 C/5 C/5 C/5 C/5 C/5 C/5 C/5 C/5 C/5 2 g d 52 2 *« 3 c •~N 52 tf5 d =tt m O cn in NO t _o § <1 =tt m OO ON O CN cn d in NO IN CN O OO s; in in d d ON T-4 %-> IN N OO OO OO oo oo oo OO OO CN CN d Ed CN Cl CN CN fN cn Ed CN CN CN CN CN CN CN fN Cl Cl cn cn cn £ d d d d d d CJ no d d d d d d d d d d d d d < 3 o HH <u .g 3 d o g 3 <HH pp 2) c i o 5-1 P0 ■4H O o ir co U d a> a> 5h d c/5 cS <D s 3 d _o 3 nO < d .o -4-> c/5 2 2 Ed C/5 d > a> d U C/5 d h4 d o o o .g fN ^H cn d nO § fN oo (N d C/5 d qj s 3 s CP C/5 , Dermanura tolteca (Saussure 1860), Toltec Fruit-eating Bat WFB# Material Sex Age H&B Tail HF Ear Tragus Forearm GSL CBL ZYW LIW Cl-M3 Wt(g) 4277 S+S M Adult 58 0 12 16 6 _ 40 20,28 19,32 12,23 4,85 6,69 13,5 Additional measurement: Cl-M3=tooth row length from canine to last molar.",57759792,308,2012,Internet Archive,smallmammalsurv308engi,Museum of Texas Tech University,English,http://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
