Species,Text,Page_id,Volume,Year,Source,Source_ID,Institution,Language,Rights,Copyright
Scotinomys xerampelinus,"1902, Chiriqui Mammalia. Bull. Mus. Comp. Zool., Vol. 39, No. 2, pp. 1751, April, 1902. An annotated list of 63 species and subspecies collected by W. W. Brown, Jr., mainly on the Volcan de Chiriqui, including descriptions of a new genus (Syntheosciurus, p. 25) and 18 new forms as follows: Tayassu crusnigrum ( FPecari angulatus crusnigrum), p. 20, Sciurus stuans chiriquensis ( Sciurus hoffmanni chiriquensis), p. 22, Sciurus browni ( Micro-sciurus alfari browni), p. 24, Svntheosciurus brochus, p. 25, Megadontomys flavidus (-Peromyscus flavidus), p. 27, . Peromyscus cacabatus (Peromyscus nudipes), p. 20, Nyctomys nitellinus ( Nyctomys sumichrasti nitellinus), p. 30, Sigmodon austerulus, p. 32, Orysomys devius, p. 34, Oryzomys vegetus ( Orysomys fulvescens vegetus), p. 35, Reithrodontomys australis vulcanius ( Reithrodontomys. australis australis), p. 38, Reithrodontomys creper, p. 390, Akodon teguina apricus ( Scotinomys teguina apricus), p. 40, dkodon xerampelinus ( Scotinomys xerampelinus), p. 41, Macrogeomys cavator, p. 42, Macrogeomys pansa, p. 44, Heteromys repens ( Heteromys desmarestianus repens), p. 45, and Agouti paca virgatus ( Cuniculus paca virgatus), p. 47. This paper is one of the most important single contributions to. knowledge of the mammals of Panama. 1905. See Thayer and Bangs. 1906. Vertebrata of the Savanna of Panama, II, Mammalia. Bull. Mus. Comp. Zool., Vol. 46, pp. 212-213, January, 1906. Records Sciurus adolphei dorsalis ( Sciurus. variegatoides helveolus), p. 212, Promops nanus ( Eumops nanus), p. 212, Hemiderma castaneum ( Hemiderma perspicillatum astecum erroneously identified), p. 213, and Artibeus intermedius ( Artibeus jamaicensis), p. 213. Brooke, SiR VICTOR. 1878. On the Classification of the Cervidae, with a Synopsis of the existing Species. Proc. Zool. Soc. London, pp. 883-928, Nov. 19, 1878. Records Cariacus mexicanus ( Odocoileus chiriquensis), p. 910, from Panama. DAMPIER, WILLIAM. 1698-1703. Dampier s Voyages, Vols. 1-3, London, 1698-1703. A New Voyage Round the World, Describing particularly the Isthmus of America The third edition corrected pp. 1-550, 1608. Vol. 2. Voyages and Descriptions. In Three Parts, viz.",15494390,69.0,1920.0,Internet Archive,mammalsofpanamaw00gold,Smithsonian Libraries and Archives,English,,Public domain. The BHL considers that this work is no longer under copyright protection.
Scotinomys xerampelinus,"22 AMERICAN MUSEUM NOVITATES TABLE 4 Outgroup Exemplars Surveyed (See accompanying text for explanation) Tylomyines Nyctomys sumichrasti Otonyctomys hatti Ototylomys phyllotis Tylomys mirae Neotomines? Hodomys alleni Nelsonia neotomodon Neotoma (N.) floridana Neotoma (Teanopus) phenax Neotoma (Teonoma) cinerea Xenomys nelsoni Peromyscines? Habromys lepturus Isthmomys pirrensis Megadontomys thomasi Neotomodon alstoni Onychomys leucogaster Osgoodomys banderanus Peromyscus leucopus Podomys floridanus Incertae sedis Baiomys musculus Ochrotomys nuttalli Reithrodontomys (Aporodon) creper Reithrodontomys (R.) sumichrasti Scotinomys xerampelinus After Carleton (1980). After Carleton (1989). cation of South American muroids (e.g., as summarized by Reig, 1984: table 16-1) is thoroughly unsatisfactory from a phylogenetic perspective (see Carleton and Musser, 1989: 53-55; and Voss, 1991: 33-37). Nevertheless, some provisional hypothesis of monophyly must be adopted for any progress to be made in understanding the phylogenetic significance of character distributions in the Neotropical fauna. For the purpose of the analyses that follow, we assume the monophyly of a predominantly Neotropical group of sigmodontine genera in which (1) the entepicondylar foramen of the humerus is absent, (2) the entoglossal process of the basihyal is absent, (3) the tuberculum of the first rib articulates with the transverse processes of the seventh cervical and first thoracic vertebrae, and (4) the glans penis is complex (see Carleton, 1980, NO. 3085 for discussions of the polarity of these character states, and Voss, 1988: 437, for comments about their distribution among Neotropical muroids). This group apparently coincides with the South American Cricetines of Hooper and Musser (1964) minus Nyctomys (a Central American tylomyine), and with Reig s (1980) concept of Sigmodontinae. In order to polarize character transformations in the Neotropical muroid fauna, we assume that reasonable outgroup comparisons can be made to North and Central American tylomyines, neotomines, peromyscines, and other genera with simple phalli (Carleton, 1980, 1989). As noted by Voss (1993), this assumption is supported principally by geographic propinquity and biochemical results because morphological evidence that these northern taxa are closely related to Neotropical muroids is currently unavailable. Carleton (1980: table 7) provided much useful outgroup data for the present study, but we examined outgroup exemplars (table 4) for new and hitherto unpolarized characters. We focus on two rival hypotheses about the relationships of Holochilus (sensu lato). Derived resemblances in craniodental morphology noted by Wagner (1842), Winge (1887, 1941), Thomas (1928), Ellerman (1941), and Hershkovitz (1955) suggest that Holochilus and Sigmodon are closely related, an hypothesis that appeared compelling to Reig (1984) whose tribe Sigmodontini contained only these two genera. Hooper and Musser (1964), however, reported similarities in phallic characters between Holochilus and certain species of Oryzomys and suggested that the former might be an oryzomyine rather than a member of Hershkovitz s (1955) sigmodont group. Additional evidence that Holochilus and oryzomyines (sensu Hershkovitz, 1944, 1960) may be closely related was discussed by Baker et al. (1983) and Voss (1991). The taxonomic units of our analysis include Sigmodon hispidus, S. peruanus, Lundomys molitor, Holochilus brasiliensis, H. sciureus, Oryzomys subflavus, and Pseudoryzomys simplex. The two species of Sigmodon were chosen to represent substantially divergent morphologies within the genus; ex-",62226667,3085.0,1993.0,Internet Archive,newgenushespero3085voss,American Museum of Natural History Library,English,http://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Scotinomys xerampelinus,"The purpose of this paper is to report new data available for two species of Amblyopinus in Panama, A. emarginatus and A. tiptoni. We are now able to provide detailed information on host and elevational specificity of these species. Additionally, we examined specimens previously reported from Panama and provide a reevaluation of this material.",34570414,100.0,1987.0,Internet Archive,proceedingsofb1001987biol,Smithsonian Libraries and Archives,English,https://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Scotinomys xerampelinus,"From 15 May through 10 July 1980, Ronald H. Pine and Robert J. Izor collected small mammals and their ectoparasites in the Cerro Colorado region of western Panama. Mammals were collected at eight localities ranging from 900 to 1856 m (see Pine and Handley, in prep.). Localities where Amblyopinus was encountered include : Panama, Chiriqui-Bocas del Toro boundary, Cerro Bollo, 3.5 km E of Escopeta, 1800-1856 m (subsequently referred to as the Cerro Bollo locality). Originally cloud forest and elfin woodland, considerable forest remains, though some clearing has been undertaken for surveying purposes. Traps were set along pre-existing paths and paths cut through the forest for the trapline.",34570414,100.0,1987.0,Internet Archive,proceedingsofb1001987biol,Smithsonian Libraries and Archives,English,https://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Scotinomys xerampelinus,"Species of small mammals taken at this locality (numbers collected in parentheses) include: opossum, Didelphis marsupialis (1); South American mouse-opossum, Marmosa robinsoni (2); blackish small-eared shrew, Cryptotis nigrescens (5); Tomes rice rat, Oryzomys albigularis (50); cloud forest pygmy rice rat, Oryzomys vegetus (2); naked-footed deer mouse, Peromyscus nudipes (15); and Mexican harvest mouse, Reithrodontomys mexicanus (9) (Pine and Handley, in prep.).",34570414,100.0,1987.0,Internet Archive,proceedingsofb1001987biol,Smithsonian Libraries and Archives,English,https://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Scotinomys xerampelinus,"Other species of terrestrial small mammals collected at lower elevations (900, 1275-1325, and 1400-1425 m) include: water opossum, Chironectes minimus; twotoed sloth, Choloepus hoffmanni; forest rabbit, Sylvilagus brasiliensis; Harris rice rat, Oryzomys aphrastus; pygmy rice rat, Oryzomys fulvescens; yellow deer mouse, Peromyscus flavidus; and hispid cotton rat, Sigmodon hispidus. Additionally, 19 species of bats were collected throughout the elevational range (Pine and Handley, in prep.). None of these other mammals were parasitized by Amblyopinus, nor were any Amblyopinus found below 1425 m elevation.",34570414,100.0,1987.0,Internet Archive,proceedingsofb1001987biol,Smithsonian Libraries and Archives,English,https://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Scotinomys xerampelinus,"An attempt was made to collect every beetle encountered, although a small number escaped. The actual number that escaped is uncertain, but represents only a very small percentage of those captured. None of the beetles which escaped were from hosts or elevations which differ from those reported here (R. Izor and R. Pine, pers. comm.). Thus, these data provide an informative representation of beetle distribu-",34570414,100.0,1987.0,Internet Archive,proceedingsofb1001987biol,Smithsonian Libraries and Archives,English,https://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Scotinomys xerampelinus,"Standing up high above this desolate region is the great rocky peak of Mt. Chiriqui, which I believe I am the only man to have climbed. The summit is a towering rock, its extreme point so sharp and narrow that I had to straddle it. Under one foot was a sheer fall of some 900 feet, under the other a sharp slope of 600 or 700. I found no signs of any previous ascent, but left two records of my own visit. From the top I looked down on the waters of the Caribbean Sea and of the Pacific Ocean, seeing distinctly the",15494192,69.0,1920.0,Internet Archive,mammalsofpanamaw00gold,Smithsonian Libraries and Archives,English,,Public domain. The BHL considers that this work is no longer under copyright protection.
Scotinomys xerampelinus,"Color.-Type: Upper parts in general blackish, finely and inconspicuously mixed with rusty, producing a blackish brown effect except on the rump where the black is strongly predominant; under parts overlaid with cinnamon (Ridgway, 1912), the basal tone near slate color; forearms and thighs blackish; ears thinly clothed with blackish hairs; feet and tail all around dusky.",34563798,48.0,1935.0,Internet Archive,proceedingsofbi481935biol,Smithsonian Libraries and Archives,English,https://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
Scotinomys xerampelinus,"Skull.-Very similar to that of S. . teguina but lighter in general structure; rostrum narrower and slightly shallower; nasals extending slightly farther posteriorly between premaxillae; zygomatic plate narrower; incisive foramina less extended posteriorly (ending in anterior plane of first upper molars instead of passing beyond this plane as in teguina); dentition about the same. Size and general form about as in S. t. irazu, but frontal region less depressed near the median line anteriorly; maxillary arm of zygoma broader near line of contact with frontals (as viewed from above); nasals longer, extending farther posteriorly beyond ends of premaxillae; supraoccipital projecting farther posteriorly over foramen magnum.",34563798,48.0,1935.0,Internet Archive,proceedingsofbi481935biol,Smithsonian Libraries and Archives,English,https://biodiversitylibrary.org/permissions,In copyright. Digitized with the permission of the rights holder.
